bullying_words,type_bully
 Get fucking real dude.,bully
 She is as dirty as they come  and that crook Rengel  the Dems are so fucking corrupt it's a joke. Make Republicans look like  ...,bully
 why did you fuck it up. I could do it all day too. Let's do it when you have an hour. Ping me later to sched writing a book here.,bully
 Dude they dont finish enclosing the fucking showers. I hate half assed jobs. Whats the reasononing behind it? Makes no sense.,bully
 WTF are you talking about Men? No men thats not a menage  that's just gay.,bully
Ill save you the trouble sister. Here comes a big ol fuck France block coming your way here on the twitter.,bully
 Im dead serious.Real athletes never cheat don't even have the appearance of at his level. Fuck him dude seriously  I think he did,bully
...go absolutely insane.hate to be the bearer of bad news..LoL..dont shoot the messenger (cause we all know you bought that pistol,bully
Lmao  im watching the same thing ahaha. The gay guy is hilarious! "Dede having a good day and I dont want anyone to mess it up.",bully
LOL  no he said  What do you call a jail cell to a gay guy? Paradise! ahaha.,bully
truth on both counts that guy is an ass  and their product is sub par. I tell people try Dalesandros orJim's,bully
Shakespeare nerd!,bully
you are SUCH a fucking dork,bully
Heh. Fuck 'em WHERE?!?,bully
damn it i totally forgot that one!,bully
wow  damn I would have been pissed @ that...,bully
nigga u geigh lmao! fuck yo finals beeeeeitch,bully
that sucks :(,bully
read that this morning. my fav is how they just straight up say "cum shots",bully
Unibroue bully7 !!!! Another damn good Unibroue,bully
damn your evil 6non-bully minute IPA beckoning me from the fridge right now...,bully
It did  then my fucking dad turned it off. I just don't think it likes your movies. I was tryin to watch Nanny Diaries.,bully
it pretty much is a fuck you card..,bully
that karma is a bitch  HUH,bully
don't get too fat or you'll turn into a boomer,bully
the hormones are worse for guys.  I cant tell you how much I truly hate the thoughts that go through my head.,bully
except for joe jonas the ass munch who broke up w/our tyler via phone..kinda like doing via text - what kind of a-hole does that?,bully
man that rly sucks. I for bully am positive that all will work out. You're a bright dude... pretty cool 2 if I don't say so myself.,bully
hard to kick ass yourself with slippers on?  On it.,bully
Thats pretty damn awesome! Very smart :) @Aaronage Sure!,bully
freak'n awesome. so far loving 4.5. the browser is fantastic. and finally video  pretty cool,bully
Damn  that sounds good...,bully
